gml_id,oid,aktualit,art,name,schluessel,gemeinde,gmdschl
DE092399,DE092399,2023-07-27Z,Gemarkung,Treppendorf,"092399",Hollfeld,"09472154"
DE092418,DE092418,2023-07-20Z,Gemarkung,Busbach,"092418",Eckersdorf,"09472131"
DE097331,DE097331,2023-08-31Z,Gemarkung,Untermeitingen,"097331","Klosterlechfeld;Untermeitingen","09772162;09772209"
DE095162,DE095162,2023-08-30Z,Gemarkung,Blaibach,"095162",Blaibach,"09372115"
DE092831,DE092831,2023-07-25Z,Gemarkung,Sauerheim,"092831",Weisendorf,"09572164"
DE097326,DE097326,2023-08-31Z,Gemarkung,Schwabmünchen,"097326",Schwabmünchen,"09772200"
DE097324,DE097324,2023-08-31Z,Gemarkung,Kleinaitingen,"097324",Kleinaitingen,"09772160"
DE091327,DE091327,2023-08-25Z,Gemarkung,Coburg,"091327",Coburg,"09463000"
DE097320,DE097320,2023-08-31Z,Gemarkung,Großaitingen,"097320",Großaitingen,"09772151"
DE092822,DE092822,2022-02-02Z,Gemarkung,Neunhofer Forst,"092822",Neunhofer Forst,"09572460"
DE091322,DE091322,2023-08-25Z,Gemarkung,Buch a.Forst,"091322",Lichtenfels,"09478139"
DE099247,DE099247,2023-07-07Z,Gemarkung,Schwaigen,"099247",Schwaigen,"09180131"
DE092211,DE092211,2023-08-24Z,Gemarkung,Leesten,"092211",Strullendorf,"09471195"
DE099097,DE099097,2023-05-27Z,Gemarkung,Schönberg,"099097",Rottenbuch,"09190145"
DE097314,DE097314,2023-08-31Z,Gemarkung,Münster,"097314",Mickhausen,"09772178"
DE091473,DE091473,2022-07-15Z,Gemarkung,Schönstädt,"091473",Rödental,"09473159"
DE094908,DE094908,2023-07-14Z,Gemarkung,Bach,"094908",Dieterskirchen,"09376122"
DE097304,DE097304,2023-08-31Z,Gemarkung,Bobingen,"097304",Bobingen,"09772125"
DE097291,DE097291,2023-08-31Z,Gemarkung,Hochzoll,"097291",Augsburg,"09761000"
DE098376,DE098376,2023-08-18Z,Gemarkung,Hofkirchen,"098376",Taufkirchen (Vils),"09177139"
DE098389,DE098389,2023-08-18Z,Gemarkung,Oberneuching,"098389",Neuching,"09177131"
DE097288,DE097288,2023-08-31Z,Gemarkung,Lechhausen,"097288",Augsburg,"09761000"
DE095358,DE095358,2023-08-30Z,Gemarkung,Zeitlarn,"095358",Zeitlarn,"09375213"
DE097290,DE097290,2023-08-31Z,Gemarkung,Pfersee,"097290",Augsburg,"09761000"
DE098373,DE098373,2023-08-18Z,Gemarkung,Bockhorn,"098373",Bockhorn,"09177113"
DE098333,DE098333,2023-08-26Z,Gemarkung,Günzenhausen,"098333","Eching;Fahrenzhausen","09178120;09178123"
DE098358,DE098358,2023-08-18Z,Gemarkung,Maria Thalheim,"098358",Fraunberg,"09177120"
DE096078,DE096078,2023-08-22Z,Gemarkung,Pötzmes,"096078",Attenhofen,"09273115"
DE098036,DE098036,2023-08-11Z,Gemarkung,Imbath,"098036",Mindelstetten,"09176147"
DE098368,DE098368,2023-08-18Z,Gemarkung,Moosen (Vils),"098368",Taufkirchen (Vils),"09177139"
DE092203,DE092203,2023-08-24Z,Gemarkung,Königsfeld,"092203",Königsfeld,"09471151"
DE098023,DE098023,2023-08-11Z,Gemarkung,Westerhofen,"098023",Stammham,"09176161"
DE098356,DE098356,2023-08-18Z,Gemarkung,Auerbach,"098356",Wartenberg,"09177143"
DE098331,DE098331,2023-08-26Z,Gemarkung,Giggenhausen,"098331",Neufahrn b.Freising,"09178145"
DE097285,DE097285,2023-08-31Z,Gemarkung,Leitershofen,"097285",Stadtbergen,"09772202"
DE097854,DE097854,2023-08-11Z,Gemarkung,Oberostendorf,"097854",Oberostendorf,"09777155"
DE092168,DE092168,2023-08-24Z,Gemarkung,Gräfenhäusling,"092168",Wattendorf,"09471209"
DE095082,DE095082,2023-01-13Z,Gemarkung,Zimmering,"095082",Roding,"09372153"
DE097869,DE097869,2023-08-11Z,Gemarkung,Hirschzell,"097869",Kaufbeuren,"09762000"
DE097575,DE097575,2023-08-12Z,Gemarkung,Schwaighausen,"097575",Holzgünz,"09778151"
DE091952,DE091952,2023-07-19Z,Gemarkung,Weißdorf,"091952",Weißdorf,"09475184"
DE098411,DE098411,2023-08-05Z,Gemarkung,Mittbach,"098411",Isen,"09177123"
DE093517,DE093517,2023-08-10Z,Gemarkung,Enzendorf,"093517",Hartenstein,"09574129"
DE092909,DE092909,2023-07-12Z,Gemarkung,Beerbach,"092909",Dietersheim,"09575119"
DE091032,DE091032,2023-05-18Z,Gemarkung,Lembach,"091032",Eltmann,"09674133"
DE098294,DE098294,2023-03-18Z,Gemarkung,Niederambach,"098294",Moosburg a.d.Isar,"09178143"
DE093471,DE093471,2023-05-04Z,Gemarkung,Tafelhof,"093471",Nürnberg,"09564000"
DE096646,DE096646,2023-06-28Z,Gemarkung,Götzdorf,"096646","Landshut;Kumhausen","09261000;09274146"
DE096046,DE096046,2023-08-22Z,Gemarkung,Laaberberg,"096046",Rohr i.NB,"09273165"
